trial_no,trigger,estimated_onset,onset,lag
1,F,22891.0390110630,22891.0515006420,-0.0124895790
1,C,22891.5415420380,22891.5514981700,-0.0099561320
1,A,22892.5415420380,22892.5514291580,-0.0098871200
1,A,22893.8188298309,22893.8347656250,-0.0159357941
1,A,22894.3188298309,22894.3348163850,-0.0159865541
2,F,22896.5851843260,22896.6013754450,-0.0161911190
2,C,22897.7131544508,22897.7180167570,-0.0048623062
2,A,22898.7131544508,22898.7179584360,-0.0048039852
2,A,22900.7405289084,22900.7512226360,-0.0106937276
2,A,22901.2405289084,22901.2513224960,-0.0107935876
2,A,22901.8840311936,22901.9011938320,-0.0171626384
3,F,22902.4727711580,22902.4845355480,-0.0117643900
3,C,22903.3188181700,22903.3345290990,-0.0157109290
3,A,22904.3188181700,22904.3344709690,-0.0156527990
