trial_no,trigger,estimated_onset,onset,lag
1,F,22849.0569223300,22849.0693055160,-0.0123831860
1,C,22850.2404780735,22850.2525245110,-0.0120464376
1,A,22851.2404780735,22851.2525932300,-0.0121151566
1,A,22852.3462117003,22852.3525169140,-0.0063052137
1,A,22853.2780642115,22853.2857703820,-0.0077061705
1,A,22854.0741230319,22854.0858650740,-0.0117420421
2,F,22855.1000290800,22855.1191634060,-0.0191343260
2,C,22856.2500283735,22856.2691167840,-0.0190884105
2,A,22857.2500283735,22857.2690572960,-0.0190289225
2,A,22858.5723588994,22858.5856116020,-0.0132527026
2,A,22859.0826661100,22859.0856430500,-0.0029769400
2,A,22859.5826661100,22859.5855684900,-0.0029023800
