trial_no,trigger,estimated_onset,onset,lag
1,F,22400.0517506070,22400.0639678330,-0.0122172260
1,C,22401.1441600665,22401.1640194070,-0.0198593404
1,A,22402.1441600665,22402.1639913250,-0.0198312585
1,A,22405.2219172199,22405.2306341870,-0.0087169671
2,F,22406.7234441040,22406.7305592070,-0.0071151030
2,C,22407.2781039317,22407.2971838060,-0.0190798743
2,A,22408.2781039317,22408.2972175900,-0.0191136583
2,A,22411.0809542077,22411.0971300190,-0.0161758113
3,F,22412.5070705430,22412.5137314020,-0.0066608590
3,C,22413.4898456493,22413.4969846020,-0.0071389527
3,A,22414.4898456493,22414.4969862990,-0.0071406497
3,A,22416.1902970730,22416.1969668700,-0.0066697970
3,A,22417.1424963239,22417.1469154020,-0.0044190781
4,F,22418.5655207830,22418.5802659300,-0.0147451470
4,C,22418.9576545625,22418.9635358790,-0.0058813165
4,A,22419.9576545625,22419.9635725930,-0.0059180305
4,A,22421.7590949705,22421.7634965650,-0.0044015945
5,F,22424.6158258540,22424.6301428900,-0.0143170360
5,C,22425.6203986938,22425.6300810050,-0.0096823112
5,A,22426.6203986938,22426.6300592240,-0.0096605302
