trial_no,trigger,estimated_onset,onset,lag
1,F,23704.8252722490,23704.8469249230,-0.0216526740
1,C,23705.7489674413,23705.7636743770,-0.0147069357
1,A,23706.7489674413,23706.7636367950,-0.0146693537
1,A,23708.1467793629,23708.1635898950,-0.0168105321
1,A,23708.6467793629,23708.6635955060,-0.0168161431
1,A,23709.1498390326,23709.1635895380,-0.0137505053
2,F,23710.7008519560,23710.7135202710,-0.0126683150
2,C,23711.1838426098,23711.1968388290,-0.0129962192
2,A,23712.1838426098,23712.1968152010,-0.0129725912
2,A,23714.1059907975,23714.1133928960,-0.0074020985
2,A,23714.9299074614,23714.9467596820,-0.0168522206
3,F,23716.3451620200,23716.3633996260,-0.0182376060
3,C,23717.5819382584,23717.5966742640,-0.0147360056
3,A,23718.5819382584,23718.5966750860,-0.0147368276
3,A,23720.7743015151,23720.7799373490,-0.0056358339
3,A,23721.9868294549,23721.9965689840,-0.0097395291
4,F,23722.6598341660,23722.6631611870,-0.0033270210
4,C,23723.8820808007,23723.8965919050,-0.0145111043
4,A,23724.8820808007,23724.8964488370,-0.0143680363
4,F,23760.9500139260,23760.9621605900,-0.0121466640
4,C,23761.3880927678,23761.4122096940,-0.0241169262
4,A,23762.3880927678,23762.3955262720,-0.0074335042
4,A,23765.0510007517,23765.0621210500,-0.0111202983
4,A,23765.6348927840,23765.6454057170,-0.0105129330
5,F,23766.5402989010,23766.5453826480,-0.0050837470
5,C,23767.3665649215,23767.3786978640,-0.0121329425
5,A,23768.3665649215,23768.3785988850,-0.0120339635
5,A,23772.0235361710,23771.8785195130,0.1450166580
6,F,23772.5117191860,23772.5284722840,-0.0167530980
6,C,23772.8486211297,23772.8619095960,-0.0132884663
6,A,23773.8486211297,23773.8618818480,-0.0132607183
6,A,23775.2000488559,23775.2117339790,-0.0116851231
6,A,23777.0680262176,23777.0784847170,-0.0104584994
7,F,23777.8553178300,23777.8617110870,-0.0063932570
7,C,23778.2899671549,23778.2950510100,-0.0050838551
7,A,23779.2899671549,23779.2950370980,-0.0050699431
4,F,23817.3300810920,23817.3440435360,-0.0139624440
4,C,23817.9715946392,23817.9939497960,-0.0223551568
4,A,23818.9715946392,23818.9773374440,-0.0057428048
4,A,23820.0378828622,23820.0439881700,-0.0061053078
4,A,23820.6301601849,23820.6438369970,-0.0136768121
5,F,23823.0773269850,23823.0938738950,-0.0165469100
5,C,23823.8528775656,23823.8605337540,-0.0076561884
5,A,23824.8528775656,23824.8605558950,-0.0076783294
