trial_no,trigger,estimated_onset,onset,lag
1,F,23053.6176791620,23053.6306785990,-0.0129994370
1,C,23053.9690656411,23053.9807140470,-0.0116484059
1,A,23054.9690656411,23054.9806931530,-0.0116275119
1,A,23056.6247419735,23056.6305762170,-0.0058342435
1,A,23057.1042134652,23057.1139454490,-0.0097319838
1,A,23057.6042134652,23057.6139405420,-0.0097270768
2,F,23058.8996744810,23058.9138488320,-0.0141743510
2,C,23060.1565150850,23060.1805197480,-0.0240046630
2,A,23061.1565150850,23061.1637950010,-0.0072799160
2,A,23062.3274662577,23062.3470926730,-0.0196264153
2,A,23063.5815965317,23063.5970974020,-0.0155008703
3,F,23065.0190805700,23065.0304676110,-0.0113870410
3,C,23066.2237179283,23066.2303259600,-0.0066080317
3,A,23067.2237179283,23067.2302818020,-0.0065638737
3,A,23070.2391134033,23070.2469624300,-0.0078490267
3,F,23108.6167315750,23108.6292119890,-0.0124804140
3,F,23137.4310409180,23137.4451642740,-0.0141233560
3,F,23332.7648648100,23332.7734898800,-0.0086250700
3,F,23369.6820940770,23369.6892793450,-0.0071852680
3,F,23439.1287479470,23439.1374125970,-0.0086646500
3,C,23440.0528582405,23458.0202841600,-17.9674259195
3,A,23441.0528582405,23485.2361307200,-44.1832724795
3,A,23444.3752617368,23503.4690208800,-59.0937591432
3,F,23612.6174473020,23612.7494768010,-0.1320294990
3,C,23613.3234094371,23613.3494885970,-0.0260791599
3,A,23614.3234094371,23614.3327788720,-0.0093694349
3,A,23616.1415514291,23616.1659790920,-0.0244276629
4,F,23618.5507655400,23618.5660494420,-0.0152839020
4,C,23619.1816661351,23619.2160199380,-0.0343538029
4,A,23620.1816661351,23620.1992359060,-0.0175697709
